                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.73349,                0.51282,                0.13029,                0.79119,                0.67894,                0.76592,                0.46681,                0.54796,                0.43387,                0.09722,                 0.0001,                 0.0001,                 0.0001
                     80,                 0.7292,                0.51236,                 0.1277,                0.79583,                0.68749,                0.77232,                0.47146,                0.54553,                0.43156,                0.09677,                 0.0001,                 0.0001,                 0.0001
                     81,                0.72688,                0.51189,                0.12986,                0.79649,                0.70787,                0.78211,                0.47701,                0.54164,                0.42899,                0.09617,                 0.0001,                 0.0001,                 0.0001
                     82,                 0.7137,                0.50725,                0.12587,                0.80651,                0.71134,                0.78823,                0.48406,                0.53815,                 0.4268,                0.09547,                 0.0001,                 0.0001,                 0.0001
                     83,                0.70991,                0.50555,                0.12331,                0.80512,                0.71052,                0.79155,                 0.4903,                0.53341,                0.42357,                0.09451,                 0.0001,                 0.0001,                 0.0001
                     84,                0.72358,                0.50811,                0.12721,                 0.8163,                0.70541,                 0.7963,                0.49373,                0.52885,                0.42148,                0.09374,                 0.0001,                 0.0001,                 0.0001
                     85,                 0.7161,                0.50447,                 0.1255,                  0.842,                0.70399,                0.80456,                0.50097,                0.52417,                0.41894,                0.09289,                 0.0001,                 0.0001,                 0.0001
                     86,                0.71043,                0.50082,                0.12463,                0.83096,                 0.7322,                0.81145,                0.50978,                0.51988,                0.41677,                0.09215,                 0.0001,                 0.0001,                 0.0001
                     87,                 0.7091,                0.50395,                 0.1232,                0.85306,                0.72685,                  0.818,                0.51185,                 0.5166,                0.41357,                0.09149,                 0.0001,                 0.0001,                 0.0001
                     88,                0.70321,                0.50368,                0.12214,                0.85306,                0.72775,                0.82667,                0.51522,                0.51341,                0.41291,                0.09118,                 0.0001,                 0.0001,                 0.0001
                     89,                0.71059,                0.50381,                0.12528,                0.85113,                0.73896,                0.83198,                0.51874,                0.51173,                0.41107,                0.09127,                 0.0001,                 0.0001,                 0.0001
                     90,                0.70122,                0.49845,                0.12075,                0.85613,                0.74863,                0.83597,                0.52287,                0.50802,                0.40916,                0.09092,                 0.0001,                 0.0001,                 0.0001
                     91,                0.69877,                0.50177,                0.12064,                0.85444,                0.75036,                0.83861,                0.52817,                0.50333,                0.40668,                0.09004,                 0.0001,                 0.0001,                 0.0001
